Filename,Caption,Detected Objects
Very_Heavily_Guarded_because_its_right_next_to_the.png,a black and white photo of a street sign,"prison, prison house (0.77), dam, dike, dyke (0.05), barn (0.02), crate (0.02), freight car (0.02)"
Very_old_and_very_small_cemetery__Surrounded_by_a.png,a blue and white fire hydrant sitting on the side of a road .,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.90)"
very_strange_happenings__Red_lights_have_been_seen.png,a house that has a house in the background .,"barn (0.31), boathouse (0.14), picket fence, paling (0.11), church, church building (0.03), mobile home, manufactured home (0.02)"
Very_strange_noises__like_the_sound_of_a_dog_joggi.png,a bathroom with a sink and a mirror,"spotlight, spot (0.09), switch, electric switch, electrical switch (0.08), prison, prison house (0.08), radiator (0.05), bannister, banister, balustrade, balusters, handrail (0.03)"
voices_and_sounds_of_people_talking_throughout_the.png,a black and white cat laying on a bed .,"cloak (0.44), abaya (0.06), gown (0.03), book jacket, dust cover, dust jacket, dust wrapper (0.03), iron, smoothing iron (0.02)"
Voices_are_heard_often___Shadows_of_people_walking.png,a man in a suit and tie standing in front of a building .,"abaya (0.65), spotlight, spot (0.03), cloak (0.03), suit, suit of clothes (0.02)"
voices_have_been_heard_and_a_mysterious_man_lurks.png,a cat sitting on top of a refrigerator .,"abaya (0.42), cloak (0.34)"
Voices_have_been_heard__bad_vibes_felt__and_there.png,a tall building with a clock on top of it .,"library (0.56), balloon (0.08), palace (0.04), flagpole, flagstaff (0.04), lakeside, lakeshore (0.03)"
Voices_heard_early_in_the_mornings__if_you_are_sit.png,a black and white photo of a person sitting on a bench,"lakeside, lakeshore (0.58), park bench (0.13), cloak (0.02), umbrella (0.02), black grouse (0.02)"
Waller_Hall_Building___Ghost_of_a_little_girl___Sa.png,a black and white photo of a train,"prison, prison house (0.32), bannister, banister, balustrade, balusters, handrail (0.14), dishwasher, dish washer, dishwashing machine (0.04), paddlewheel, paddle wheel (0.04), liner, ocean liner (0.02)"
Walters_Hall___horrible_feelings_of_fear_and_dread.png,a couple of vases sitting on top of a wooden table .,"vault (0.52), palace (0.17), dome (0.09), pedestal, plinth, footstall (0.04), mosque (0.03)"
Walton_Hall___A_girl_hung_herself_is_Walton_Hall_s.png,a living room with a couch and a table,"window shade (0.26), sliding door (0.15), window screen (0.13), prison, prison house (0.07), library (0.05)"
Wal_Mart___the_toy_department_of_Wal_Mart_is_haunt.png,a woman standing in front of a store window .,"shopping basket (0.28), confectionery, confectionary, candy store (0.18), cowboy boot (0.12), grocery store, grocery, food market, market (0.09), shoe shop, shoe-shop, shoe store (0.04)"
Ward_Hall____Reports_of_lights_turn_on_and_off_in.png,a black and white photo of a train,"prison, prison house (0.90)"
warning___The_tunnel_is_very_active___not_recommen.png,a black and white photo of a train station .,"marimba, xylophone (0.28), chime, bell, gong (0.25), vault (0.07), radiator (0.02), bell cote, bell cot (0.02)"
Warriner_Hall___long_ago_there_was_a_young_actress.png,a cat sitting on top of a window sill .,"wardrobe, closet, press (0.30), sliding door (0.15), abaya (0.06), doormat, welcome mat (0.06), fire screen, fireguard (0.04)"
Washington_Hall_guest_house___You_may_be_awaken_in.png,a building with a clock on top of it .,"palace (0.22), library (0.15), boathouse (0.06), window screen (0.03), lakeside, lakeshore (0.03)"
Was_a_cotton_mill_along_time_ago__Tourists_and_sta.png,a living room with a couch and a window,"window shade (0.71), window screen (0.12), prison, prison house (0.03), shoji (0.02)"
Was_feature_on_unsolved_mysteries__net_work_tv__On.png,a black and white photo of a man sitting at a table .,"crossword puzzle, crossword (0.77)"
Was_once_a_little_town_located_in_the_mountains__I.png,a herd of cattle grazing on a lush green field .,"plow, plough (0.72), tractor (0.05), thresher, thrasher, threshing machine (0.04), oxcart (0.03)"
Waverley_Hall___Lights_going_on_and_off_in_abandon.png,a black and white photo of a house,"prison, prison house (0.22), palace (0.21), restaurant, eating house, eating place, eatery (0.04), vault (0.02), library (0.02)"
Wayfarers_Chapel___The_Wayfarers__Chapel_was_desig.png,a church with a steeple and a clock .,"church, church building (0.85), bell cote, bell cot (0.08)"
weird_noises_and_apparitions__Things_disappear_and.png,a black and white photo of a bathroom,"spotlight, spot (0.58), vault (0.03), candle, taper, wax light (0.02), abaya (0.02), toilet tissue, toilet paper, bathroom tissue (0.02)"
Weird_paranormal_events_linked_back_to_the_Death_o.png,a black and white photo of a car and a truck .,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.59), grille, radiator grille (0.17), limousine, limo (0.06), cab, hack, taxi, taxicab (0.03), car wheel (0.02)"
What_used_to_be_an_old__one_room_schoolhouse__is_n.png,an old church with a steeple and a clock .,"barn (0.84), church, church building (0.03), boathouse (0.02)"
when_alone_in_the_office_you_hear_people_talking_i.png,a bathroom with a toilet and a sink,"window shade (0.28), spotlight, spot (0.22), prison, prison house (0.07), sliding door (0.02)"
When_at_the_old_Jewish_Cemetery_on_the_ridge__moan.png,a black and white photo of a snow covered street .,"worm fence, snake fence, snake-rail fence, Virginia fence (0.31), picket fence, paling (0.22), prison, prison house (0.06), turnstile (0.02), barn (0.02)"
When_a_vehicle_is_parked_on_the_railroad_tracks_an.png,a black and white photo of a train,"passenger car, coach, carriage (0.72), school bus (0.10)"
When_driving_through_the_cemetery_after_dark_your.png,a black and white photo of a car parked in a parking lot .,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.30), limousine, limo (0.21), grille, radiator grille (0.09), car wheel (0.08), soccer ball (0.04)"
When_in_the_auditorium_the_lights_go_on_an_off_by.png,a view of a room with a bed and a window .,"theater curtain, theatre curtain (0.49), fountain (0.10), spotlight, spot (0.08), projector (0.05), prison, prison house (0.03)"
When_in_the_wrestling_room__sometimes_heard_the_no.png,a room that has a table and a chair in it,"projector (0.49), cinema, movie theater, movie theatre, movie house, picture palace (0.06), home theater, home theatre (0.05), volleyball (0.05), basketball (0.02)"
When_it_is_in_the_night_you_could_hear_the_wind_an.png,a red fire hydrant in front of a window .,"switch, electric switch, electrical switch (0.40), hook, claw (0.14), paper towel (0.06), radiator (0.04), toilet tissue, toilet paper, bathroom tissue (0.03)"
when_outside_in_the_cemetery_you_can_hear_weird_no.png,a parking meter sitting on the side of a road .,"bubble (0.50), pinwheel (0.09)"
when_people_drive_by_sometimes_they_see_a_white_ba.png,a white fire hydrant sitting on the side of a road .,"saltshaker, salt shaker (0.14), picket fence, paling (0.07), soap dispenser (0.06), croquet ball (0.06), ping-pong ball (0.04)"
When_sitting_at_the_bar__people_are_constantly_loo.png,a group of people standing around a kitchen .,"abaya (0.61), restaurant, eating house, eating place, eatery (0.04), cloak (0.03), bookshop, bookstore, bookstall (0.02), bookcase (0.02)"
When_the_building_was_a_play_theater__there_was_a.png,a large building with a clock on the side of it .,"prison, prison house (0.75), library (0.06), palace (0.02), vault (0.02)"
When_the_Indian_Hills_area_was_built_there_were__a.png,a black and white photo of a mountain range .,"volcano (0.75), alp (0.02)"
When_the_Mission_House__now_state_employee_housing.png,a black and white photo of a building with a clock tower .,"prison, prison house (0.23), picket fence, paling (0.22), monastery (0.09), church, church building (0.06), barn (0.04)"
When_the_plant_was_being_constructed_in_the_late_7.png,a large building with a large clock tower .,"barn (0.31), airship, dirigible (0.23), church, church building (0.07), water tower (0.06), cinema, movie theater, movie theatre, movie house, picture palace (0.04)"
When_the_school_was_being_built_two_years_ago_a_ro.png,a tall building with a clock on it 's side .,"cinema, movie theater, movie theatre, movie house, picture palace (0.64), bell cote, bell cot (0.13), planetarium (0.02)"
When_the_street_is_dark_and_no_one_is_around_you_c.png,a fire hydrant in the middle of a street .,"spotlight, spot (0.73), traffic light, traffic signal, stoplight (0.10)"
When_traveling_down_the_road_at_approx_midnight__s.png,a black and white photo of a car on a street .,"mouse, computer mouse (0.28), spotlight, spot (0.11), car mirror (0.06), bubble (0.04), umbrella (0.03)"
When_you_are_alone_at_night_you_will_hear_footstep.png,a living room with a tv and a fire place,"television, television system (0.59), screen, CRT screen (0.08), monitor (0.04), home theater, home theatre (0.03), spotlight, spot (0.02)"
When_you_are_camping_there__you_can_here_voices_in.png,a man sitting in the grass with an umbrella .,mountain tent (0.93)
when_you_are_in_the_bottom_of_the_theatre_you_will.png,a black and white photo of a man sitting on a bench .,"bannister, banister, balustrade, balusters, handrail (0.93)"
when_you_drive_on_pine_run_road_nicknamed_Babyroad.png,a black and white photo of a park bench,"spotlight, spot (0.27), park bench (0.15), chainlink fence (0.06), traffic light, traffic signal, stoplight (0.06), car mirror (0.03)"
When_you_go_in_to_the_auditorium_alone_the_lights.png,a close up of a mirror on a wall,"theater curtain, theatre curtain (0.95)"
When_you_go_to_the_top_of_the_stair_case_you_will.png,a train station with a train on the tracks .,"prison, prison house (0.49), bannister, banister, balustrade, balusters, handrail (0.25)"
When_you_look_in_the_window_there_is_a_teacher_tea.png,a group of men standing next to each other .,"comic book (0.50), book jacket, dust cover, dust jacket, dust wrapper (0.08), typewriter keyboard (0.03), abacus (0.03), carpenter's kit, tool kit (0.02)"
when_you_walk_up_by_the_front_door_of_the_house_yo.png,a bathroom with a shower and a toilet .,"sliding door (0.36), wardrobe, closet, press (0.16), doormat, welcome mat (0.06), tarantula (0.04), shoji (0.03)"
where_an_unknown_woman_occasionally_weeps_in_the_l.png,a black and white photo of a man on a beach .,"cloak (0.09), mask (0.08), book jacket, dust cover, dust jacket, dust wrapper (0.08), breastplate, aegis, egis (0.07), fountain (0.05)"
Which_was_a_former_Kutztown_school_building_is_sai.png,a building with a clock on the front of it,"monastery (0.20), church, church building (0.12), cinema, movie theater, movie theatre, movie house, picture palace (0.11), library (0.06), bell cote, bell cot (0.05)"
While_alone_you_will_here_the_baby_cry__or_while_u.png,a black and white photo of a cat in a bathroom .,"refrigerator, icebox (0.23), sliding door (0.20), wardrobe, closet, press (0.13), safe (0.02)"
While_the_rest_of_the_theater_is_pleasant_enough_.png,a black and white photo of a man and a woman,"punching bag, punch bag, punching ball, punchball (0.16), refrigerator, icebox (0.09), prison, prison house (0.08), toilet tissue, toilet paper, bathroom tissue (0.05), sliding door (0.05)"
While_walking_around_the_outside_of_the_building_y.png,a black and white photo of a brick building,"barbershop (0.11), sliding door (0.06), doormat, welcome mat (0.05), bakery, bakeshop, bakehouse (0.04), picket fence, paling (0.03)"
while_working_on_the_second_floor_of_the_main_buil.png,a bathroom with a sink and a mirror,"prison, prison house (0.61), library (0.07), shoji (0.03), sliding door (0.03)"
white_objects_seen_entering_plant__very_creepy_fee.png,a black and white photo of a bathroom sink .,"radiator (0.23), toilet tissue, toilet paper, bathroom tissue (0.21), shower curtain (0.03), bath towel (0.03), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.02)"
Whittier_Narrows_Park___The_figure_of_a_Spanish_co.png,a black and white photo of a person riding a horse,"ballplayer, baseball player (0.46), tricycle, trike, velocipede (0.07), umbrella (0.04), lakeside, lakeshore (0.02)"
Wilhelm_Dormitory___At_night_weird_noises_that_are.png,a bathroom with a toilet and a sink,"vault (0.19), prison, prison house (0.16), sliding door (0.15), shoji (0.04), medicine chest, medicine cabinet (0.02)"
Williamson_trade_school___George_dorm___is_an_old.png,a black and white photo of a city street,"prison, prison house (0.79), window shade (0.04), library (0.03)"
Williamson_trade_school___Longstreth_Dorm___there.png,a black and white photo of a bathroom with a toilet,"prison, prison house (0.86), vault (0.03)"
Williamson_trade_school___the_main___is_building_w.png,a man sitting on a bench in front of a building .,"palace (0.88), fountain (0.02)"
Williams_Hall___Incidents_have_included_residents.png,a bathroom with a toilet and a sink,"vault (0.62), prison, prison house (0.05), church, church building (0.05), altar (0.04), dome (0.03)"
Will_Rogers_made_his_last_performance_at_the_Calif.png,a black and white photo of a man brushing his teeth,"bow tie, bow-tie, bowtie (0.97)"
Windham_Hall_133_Students_often_feel_watched_and_t.png,a bedroom with a bed and a desk,"studio couch, day bed (0.26), shoji (0.23), wardrobe, closet, press (0.20), four-poster (0.07), sliding door (0.06)"
Winthrop_Hall___The_old_mansion_by_the_water_is_ha.png,a black and white photo of a building with a clock,"palace (0.67), dome (0.04), bannister, banister, balustrade, balusters, handrail (0.03), triumphal arch (0.02)"
Witnesses_have_seen_the_spirit_of_a_man_wearing_bl.png,a room filled with lots of different types of luggage .,library (0.81)
Witnesses_reported_being_in_the_middle_of_a_battle.png,a large elephant statue sitting on top of a basketball hoop .,"gibbon, Hylobates lar (0.27), proboscis monkey, Nasalis larvatus (0.16), langur (0.08), orangutan, orang, orangutang, Pongo pygmaeus (0.05), baboon (0.04)"
Witnesses_report_a_small_yeti_type_creature__Fowl.png,a teddy bear is sitting on a table .,"teddy, teddy bear (0.27), piggy bank, penny bank (0.03), bonnet, poke bonnet (0.03), wool, woolen, woollen (0.02), toilet tissue, toilet paper, bathroom tissue (0.02)"
Witnesses_Report_loud_screams_from_the_building_la.png,a black and white photo of a bedroom,"prison, prison house (0.96)"
Witnesses_report_seeing_lights_in_the_cemetery_and.png,a row of wooden benches sitting in front of a building .,"picket fence, paling (0.86), worm fence, snake fence, snake-rail fence, Virginia fence (0.05)"
Witnesses_that_travel_this_road_and_have_seen_hang.png,a black and white photo of a street light,"chainlink fence (0.07), valley, vale (0.05), park bench (0.04), suspension bridge (0.04), viaduct (0.04)"
Wolverine_World_Wide_hh_puppy_shoes__factory_F_sol.png,a man in a suit and tie standing in a doorway .,"prison, prison house (0.61), suit, suit of clothes (0.19), abaya (0.03), vault (0.02)"
Women_Dressed_in_1800_s_style_clothing_stares_down.png,a group of people standing next to each other .,"cloak (0.85), fur coat (0.02)"
Wood_Hall___it_has_a_room_that_a_girl_very_long_ag.png,a black and white photo of a living room,"vault (0.51), monastery (0.13), prison, prison house (0.10)"
Workers_there_today_report_hearing_whistling_and_k.png,a black and white photo of a man in a suit,"abaya (0.48), cloak (0.15), prison, prison house (0.06), sliding door (0.02), wardrobe, closet, press (0.02)"
Written_about_in_Edinboro_University_newspaper_in.png,a black and white photo of a living room,"rocking chair, rocker (0.43), cinema, movie theater, movie theatre, movie house, picture palace (0.07), throne (0.07), restaurant, eating house, eating place, eatery (0.03), library (0.03)"
Years_ago_there_was_a_house_that_sat_back_in_the_w.png,a black and white photo of a horse in a field,"sorrel (0.73), horse cart, horse-cart (0.03)"
Years_ago_there_was_a_terrible_train_accident_and.png,a black and white photo of a train track,"tow truck, tow car, wrecker (0.19), crane (0.08), worm fence, snake fence, snake-rail fence, Virginia fence (0.07), park bench (0.03), harvester, reaper (0.03)"
Years_ago__a_bus_occupied_with_children_supposedly.png,a black and white photo of a city bus,"passenger car, coach, carriage (0.67), trolleybus, trolley coach, trackless trolley (0.20), minibus (0.04), school bus (0.03)"
Years_ago__there_was_an_accident_at_Oak_Hill_Cemet.png,a fire hydrant in the middle of a field .,"picket fence, paling (0.19), lotion (0.16), brass, memorial tablet, plaque (0.12), hair spray (0.05), candle, taper, wax light (0.02)"
Young_Amish_girl_seen_at_night__The_legend_is_said.png,a black and white photo of a woman holding an umbrella .,"cloak (0.46), fur coat (0.10), jinrikisha, ricksha, rickshaw (0.09), vestment (0.03), lab coat, laboratory coat (0.03)"
Young_Boys_Running_around_Graves_around_12_00_on_a.png,a group of young men riding skateboards down a street .,"lab coat, laboratory coat (0.96), cloak (0.02)"
Your_description_of_this_asylum_is_accurate__it_wa.png,a black and white photo of a bathroom,"prison, prison house (0.78), sliding door (0.05)"
you_can_see_and_hear_sounds_of_children_and_elders.png,a black and white photo of a red fire hydrant .,"birdhouse (0.59), hay (0.06), worm fence, snake fence, snake-rail fence, Virginia fence (0.05)"
You_can_see_a_young_lady_glowing_blue_walking_at_t.png,a man standing on a beach holding a surfboard .,"beacon, lighthouse, beacon light, pharos (0.54), gown (0.10), seashore, coast, seacoast, sea-coast (0.05), lakeside, lakeshore (0.05), cliff, drop, drop-off (0.04)"
You_get_strange_feelings_of_people_all_around_you_.png,a black and white photo of a man standing in a room .,"prison, prison house (0.14), dumbbell (0.10), abaya (0.08), spotlight, spot (0.05), crutch (0.05)"
You_visit_it_very_late_at_night_you_will_hear_scre.png,a park bench in the middle of a forest .,"park bench (0.17), lakeside, lakeshore (0.13), viaduct (0.07), stone wall (0.06), maze, labyrinth (0.05)"
Y_.png,a painting of a person holding a surf board,"spotlight, spot (0.73), lampshade, lamp shade (0.02), abaya (0.02), gown (0.02), table lamp (0.02)"
_3_miles_S__of_Redondo_Beach___Apparitions_of_dead.png,a person holding a pair of scissors in their hands .,"lampshade, lamp shade (0.33), cloak (0.06), water bottle (0.06), spotlight, spot (0.04), table lamp (0.03)"
_formerly_listed_on_this_site_as_Moonlight_Inn_in.png,a building with a clock tower in the background .,"picket fence, paling (0.19), window shade (0.10), palace (0.06), library (0.05), prison, prison house (0.03)"
_Garderner_s_Grave____located_when_you_walk_in_and.png,a horse standing in front of a building .,"barn (0.37), church, church building (0.19), hay (0.13)"
_Little_Boy_Blue__the_missing_Royal_of_France__In.png,a little girl is holding a stuffed animal,"bonnet, poke bonnet (0.18), fur coat (0.09), cloak (0.09), stole (0.07), wool, woolen, woollen (0.04)"
_Midnight_Mary__has_been_seen_gliding_or_walking_a.png,a man is holding an umbrella over his head .,"cloak (0.70), vestment (0.07)"
_Old_Quaker_cemetery_whose_decedent_s_are_long_sin.png,a herd of sheep grazing on a lush green field .,hay (0.67)
_Person__seen_standing_outside_of_shower_in__Summe.png,a woman standing in a bathroom next to a sink .,"desk (0.12), medicine chest, medicine cabinet (0.08), wardrobe, closet, press (0.07), plate rack (0.07), refrigerator, icebox (0.07)"
__December_2005_Correction_Additional_Information_.png,a group of people sitting on top of a lush green field .,"scoreboard (0.58), prayer rug, prayer mat (0.04), doormat, welcome mat (0.04), maze, labyrinth (0.03), ballplayer, baseball player (0.02)"
__Drummond_Island___Drummond_Island_is_said_to_be.png,a man riding a snowboard down a snow covered slope .,"lumbermill, sawmill (0.15), barn (0.08), dam, dike, dyke (0.08), snowplow, snowplough (0.08), dogsled, dog sled, dog sleigh (0.07)"
The_ghost_of_claim_jumpers_and_outlaws__many_sente.png,a black and white photo of a city street,"restaurant, eating house, eating place, eatery (0.37), cinema, movie theater, movie theatre, movie house, picture palace (0.22), bakery, bakeshop, bakehouse (0.10)"
Reports_include_hearing_people_talking_and_screami.png,a bathroom with a toilet and a sink,"sliding door (0.21), wardrobe, closet, press (0.20), vault (0.08), beacon, lighthouse, beacon light, pharos (0.06), spotlight, spot (0.04)"
There_is_a_haunted__seasonal__fire_station_in_the.png,a room with a door and a window,"sliding door (0.55), shoji (0.17), bookcase (0.09), wardrobe, closet, press (0.03), china cabinet, china closet (0.02)"
In_the_early_1980_s_there_was_said_to_be_a_young_g.png,a black and white photo of a building with a fire hydrant .,"mobile home, manufactured home (0.62), beacon, lighthouse, beacon light, pharos (0.08), monastery (0.06), boathouse (0.02), barn (0.02)"
A_few_years_ago__a_girl_hung_herself_on_the_bridge.png,a group of people standing on top of a tennis court .,"suspension bridge (0.25), pier (0.16), picket fence, paling (0.09), bannister, banister, balustrade, balusters, handrail (0.09), worm fence, snake fence, snake-rail fence, Virginia fence (0.08)"
It_has_been_said_that_the_boy_s_3rd_floor_restroom.png,a black and white photo of a bathroom,"prison, prison house (0.93), vault (0.03)"
At_night__as_you_drive_up_the_main_drive_of_the_gr.png,a person sitting on a bench in the rain .,"gown (0.71), groom, bridegroom (0.07), cloak (0.03), ice lolly, lolly, lollipop, popsicle (0.02)"
13105_W_Glendale___Sounds_of_babies_crying_and_lit.png,a living room with a fire place and a fire place .,"home theater, home theatre (0.38), harp (0.31), television, television system (0.11), entertainment center (0.02)"
Now_housing_Louisiana_State_Police_Headquarters_an.png,a clock tower in the middle of a city street .,"rapeseed (0.69), palace (0.05), prison, prison house (0.02), library (0.02)"
sightings_of_supernatural_beings_and_noises_heard.png,a fire hydrant in the middle of a field .,"shovel (0.45), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.15), broom (0.06), picket fence, paling (0.05), plunger, plumber's helper (0.04)"
In_The_Stillwater_High_School_in_room_201__late_at.png,a black and white photo of a kitchen,"shoji (0.38), prison, prison house (0.26), window shade (0.09), window screen (0.02)"
The_theater_is_haunted_by_George__He_haunts_theatr.png,a building with a clock on the side of it,"cinema, movie theater, movie theatre, movie house, picture palace (0.60), library (0.12), restaurant, eating house, eating place, eatery (0.04), palace (0.03), flagpole, flagstaff (0.02)"
The_second_floor_use_to_be_the_children_s_hospital.png,a red stop sign sitting on the side of a building .,"library (0.43), palace (0.28), monastery (0.06), flagpole, flagstaff (0.03), prison, prison house (0.02)"
There_is_a_very_dense_forest_that_separates_2_neig.png,a fire hydrant in the middle of a field .,"water tower (0.12), worm fence, snake fence, snake-rail fence, Virginia fence (0.10), viaduct (0.07), lakeside, lakeshore (0.05), park bench (0.04)"
A_very_talented_drama_student_died_suddenly_back_i.png,a black and white photo of a television set,"theater curtain, theatre curtain (0.91)"
Voices_in_the_former_eating_area_as_well_as_the_ce.png,a black and white photo of a bathroom,"shoji (0.86), sliding door (0.06)"
Recreation_park_off_hwy_395___a_little_girl_slidin.png,a blue umbrella sitting on top of a sandy beach .,"swing (0.08), folding chair (0.06), parachute, chute (0.05), ice lolly, lolly, lollipop, popsicle (0.04), umbrella (0.03)"
It_is_built_on_a_old_saloon_from_the_civil_war_in.png,a black and white photo of a bathroom,"sliding door (0.19), window screen (0.10), prison, prison house (0.07), bannister, banister, balustrade, balusters, handrail (0.05), barbershop (0.03)"
A_female_figure_appears_repeatedly_in_a_classroom.png,a bathroom with a shower and a toilet .,"medicine chest, medicine cabinet (0.19), sliding door (0.17), wardrobe, closet, press (0.06), radiator (0.03), refrigerator, icebox (0.02)"
Back_in_the_1950_s_a_man_murdered_his_wife__and_th.png,a black and white photo of a street sign,"picket fence, paling (0.32), barn (0.20), boathouse (0.07), church, church building (0.05), birdhouse (0.05)"
Eerie_waves_of_murmuring_voices_have_been_heard_in.png,a black and white photo of a room with a window .,"tobacco shop, tobacconist shop, tobacconist (0.88), bookshop, bookstore, bookstall (0.02), confectionery, confectionary, candy store (0.02)"
Merchandise_and_clothes_are_found_on_the_floor_the.png,a room filled with lots of furniture and clutter .,"wardrobe, closet, press (0.38), restaurant, eating house, eating place, eatery (0.06), library (0.04), prison, prison house (0.03), sweatshirt (0.03)"
This_old__adults_only__hotel_was_once_the_former_s.png,a group of people standing outside of a building .,"palace (0.63), lakeside, lakeshore (0.04), library (0.04), flagpole, flagstaff (0.04), prison, prison house (0.03)"
The_old_county_library_is_haunted__Down_main_stree.png,a black and white photo of a city street .,"cinema, movie theater, movie theatre, movie house, picture palace (0.25), library (0.21), gas pump, gasoline pump, petrol pump, island dispenser (0.04), sliding door (0.04), bookshop, bookstore, bookstall (0.02)"
On_the_sixth_floor_of_Palo_Verde_East__there_was_a.png,a woman standing in front of a bathroom mirror .,"hoopskirt, crinoline (0.64), gown (0.14), groom, bridegroom (0.05)"
the_Old_Salina_court_house___there_is_a_holding_ce.png,a black and white photo of a building with a clock tower .,"library (0.36), palace (0.28), window shade (0.10), prison, prison house (0.04), window screen (0.02)"
It_is_known_to_be_said_that_in_the_pool_area_the_l.png,a train traveling down tracks next to a river .,"bathing cap, swimming cap (0.19), killer whale, killer, orca, grampus, sea wolf, Orcinus orca (0.09), snorkel (0.08), swimming trunks, bathing trunks (0.05), bikini, two-piece (0.03)"
This_cemetery_is_an_extremely_old_burial_site_that.png,a row of wooden benches sitting next to each other .,"picket fence, paling (0.17), brass, memorial tablet, plaque (0.09), worm fence, snake fence, snake-rail fence, Virginia fence (0.08), pedestal, plinth, footstall (0.06), obelisk (0.03)"
Faces_have_been_seen_in_the_bushes__Strange_noises.png,a row of parking meters sitting next to each other .,"brass, memorial tablet, plaque (0.84)"
At_night_there_over_by_the_playground_down_by_the.png,a parking meter in the middle of a street .,"water tower (0.43), mailbox, letter box (0.10), park bench (0.10), shopping cart (0.06), car mirror (0.04)"
The_old_high_school_is_fixed_up_and_serves_a_diffe.png,a black and white photo of a living room,"prison, prison house (0.80)"
A__ghost__inhabits_the_basement___cellar__often_ca.png,a black and white photo of a man sitting on a bench .,"mask (0.69), ski mask (0.11), abaya (0.03), prison, prison house (0.02)"
Hunt_Valley_Town_Center___Several_Co_workers_of_mi.png,a building with a clock on the side of it,"cinema, movie theater, movie theatre, movie house, picture palace (0.67), library (0.18), planetarium (0.11)"
Davidge_Hall____Davidge_Hall_has_been_host_to_many.png,a brick building with a fire hydrant on the side of it .,"library (0.50), window shade (0.08), window screen (0.05), patio, terrace (0.05), flagpole, flagstaff (0.04)"
Newcomb_Hall___Years_ago__a_student_who_had_been_h.png,a red fire hydrant sitting in front of a brick building .,"lakeside, lakeshore (0.46), palace (0.30), library (0.09)"
In_the_late_1800s_the_San_Jacinto_Valley__Hemet__.png,a lush green field with animals grazing on it .,"alp (0.61), barn (0.16), valley, vale (0.04), boathouse (0.03), church, church building (0.03)"
ComedySportz_is_haunted_by_an_unknown_female_entit.png,a woman standing in front of a tv holding a wii controller .,"toilet seat (0.32), washer, automatic washer, washing machine (0.18), sewing machine (0.18), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.13), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.03)"
A_stairway_is_haunted_in_the_kitchen_area_off_the.png,a large clock mounted to the side of a wall .,"bannister, banister, balustrade, balusters, handrail (0.97)"
Mansion___This_massive_mansion_directly_across_the.png,a large building with a clock on the front .,"monastery (0.38), vault (0.20), palace (0.19), prison, prison house (0.07), library (0.02)"
Believed_to_be_haunted_by_girl_who_was_abducted__k.png,a black and white photo of a park bench,"abaya (0.81), cloak (0.08), park bench (0.02)"
This_is_a_bed_and_breakfast_place_right_now__a_man.png,a building with a clock on the side of it .,"picket fence, paling (0.37), mobile home, manufactured home (0.34), flagpole, flagstaff (0.05), window screen (0.02), window shade (0.02)"
This_museum_is_claimed_to_be_haunted_by_several_sp.png,a bathroom with a sink and a mirror,"medicine chest, medicine cabinet (0.23), home theater, home theatre (0.20), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.08), soap dispenser (0.08), pool table, billiard table, snooker table (0.07)"
Medical_Center____This_building_used_to_house_a_mo.png,a man standing in a kitchen next to a window .,"prison, prison house (0.94)"
There_are_a_number_of_different_experiences__inclu.png,a woman standing in front of a mirror in a bathroom .,vestment (0.94)
The_narrow_bridge_in_the_middle_of_the_road____bac.png,a person riding a skate board on a city street,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.16), car mirror (0.05), suspension bridge (0.04), chainlink fence (0.03), maze, labyrinth (0.03)"
An_abandoned_sanitarium_which_later_was_used_for_t.png,a black and white photo of a man in a bathroom,"prison, prison house (0.80)"
October_2007_Warning__as_with_every_haunted_place.png,a red stop sign sitting on the side of a road .,"street sign (0.90), traffic light, traffic signal, stoplight (0.04)"
Some_people_say_that_a_school_bus_full_a_kids_fell.png,a black and white photo of a train,"steel arch bridge (0.70), pier (0.08), viaduct (0.05), suspension bridge (0.02)"
You_can_go_up_to_the_gates_in_the_middle_of_winter.png,a black and white photo of a fire hydrant,"steam locomotive (0.66), passenger car, coach, carriage (0.08), Model T (0.02), mailbox, letter box (0.02), submarine, pigboat, sub, U-boat (0.02)"
Cold_spots_in_the_women_s_bathroom_by_one_of_the_e.png,a black and white photo of a bathroom .,"medicine chest, medicine cabinet (0.20), washbasin, handbasin, washbowl, lavabo, wash-hand basin (0.09), sliding door (0.09), refrigerator, icebox (0.07), file, file cabinet, filing cabinet (0.04)"
In_Basile_High_School_s_old_gym_there_has_been_see.png,a woman is walking down the street with a suitcase .,"basketball (0.24), shopping cart (0.22), volleyball (0.16), shopping basket (0.05), racket, racquet (0.04)"
